Name,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GDP,HBP,SH,SF,IBB
Luis Frías,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TJ Friedl*,CIN,138,556,488,73,136,22,8,18,66,27,6,47,90,0,10,8,3,1
David Fry,CLE,57,113,101,12,24,6,0,4,15,2,0,8,30,3,4,0,0,0
Shintaro Fujinami,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shintaro Fujinami,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Fulmer,CHC,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cam Gallagher,CLE,56,149,143,6,18,6,0,0,7,0,0,4,46,3,1,0,1,0
Joey Gallo*,MIN,111,332,282,39,50,9,1,21,40,1,1,48,142,3,2,0,0,1
Ben Gamel*,SDP,6,15,15,2,3,1,0,0,2,0,0,0,2,0,0,0,0,0
Adolis García,TEX,148,632,555,108,136,29,0,39,107,9,1,65,175,12,6,0,6,0
Avisaíl García,MIA,37,118,108,8,20,3,1,3,12,2,0,6,39,1,2,0,0,1
Luis García Jr.*,WSN,122,482,447,61,119,18,4,9,50,9,4,27,60,10,0,1,7,1
Maikel García,KCR,123,515,464,59,126,20,4,4,50,23,7,38,115,9,2,1,10,0
Kyle Garlick,MIN,14,30,28,2,5,1,0,2,4,0,0,2,11,0,0,0,0,0
Stone Garrett,WSN,89,271,234,40,63,17,0,9,40,3,1,26,82,6,3,0,5,0
Mitch Garver,TEX,87,344,296,45,80,11,0,19,50,0,0,44,82,6,3,0,0,1
Zack Gelof,OAK,69,300,270,40,72,20,1,14,32,14,2,26,82,5,3,0,1,1
Ian Gibaut,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Gibson,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Gillaspie,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrés Giménez*,CLE,153,616,557,76,140,27,5,15,62,30,6,32,112,10,20,4,3,3
Kevin Ginkel*,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Goldschmidt,STL,154,687,593,89,159,31,0,25,80,11,2,87,161,12,3,0,3,6
Yan Gomes,CHC,116,419,382,44,102,20,2,10,63,1,0,21,81,9,9,0,7,1
Nick Gonzales,PIT,35,128,115,12,24,8,1,2,13,0,1,6,36,0,4,1,2,0
Oscar González,CLE,54,180,173,15,37,7,2,2,12,0,0,5,46,2,1,0,1,0
Romy Gonzalez,CHW,44,97,93,11,18,4,2,3,14,7,0,2,36,0,0,1,1,0
Victor González*,LAD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Goodman,COL,23,77,70,6,14,4,3,1,17,1,0,5,24,2,0,0,2,0
Nick Gordon*,MIN,34,93,91,13,16,5,1,2,7,0,0,1,11,1,0,1,0,0
Nolan Gorman*,STL,119,464,406,59,96,17,0,27,76,7,2,53,148,5,3,0,2,1
Yasmani Grandal#,CHW,118,405,363,33,85,14,0,8,33,0,0,36,86,11,4,0,2,1
Brusdar Graterol,LAD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kendall Graveman,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kendall Graveman,HOU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon Gray,TEX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tristan Gray*,TBR,2,5,5,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Riley Greene*,DET,99,416,378,51,109,19,4,11,37,7,0,35,114,7,1,0,2,0
Zack Greinke,KCR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randal Grichuk,TOT,118,471,434,65,116,31,2,16,44,2,2,29,96,11,6,0,2,2
Randal Grichuk,COL,64,263,240,40,74,19,1,8,27,2,2,18,51,6,4,0,1,2
Randal Grichuk,LAA,54,208,194,25,42,12,1,8,17,0,0,11,45,5,2,0,1,0
Trent Grisham*,SDP,153,555,469,67,93,31,1,13,50,15,3,75,154,7,5,4,1,0
Vaughn Grissom,ATL,23,80,75,5,21,3,1,0,9,0,1,2,15,2,2,0,1,0
Robbie Grossman#,TEX,115,420,353,56,84,23,1,10,49,1,0,57,98,8,2,0,8,0
Vladimir Guerrero Jr.,TOR,156,682,602,78,159,30,0,26,94,5,3,67,100,23,9,0,4,5
Luis Guillorme*,NYM,54,120,107,12,24,6,1,1,9,0,0,10,28,4,0,2,1,1
Lourdes Gurriel Jr.,ARI,145,592,551,65,144,35,2,24,82,5,0,33,103,20,6,0,2,1
Yuli Gurriel,MIA,108,329,298,32,73,16,3,4,27,4,0,26,44,13,1,0,4,3
Dalton Guthrie,PHI,23,28,24,4,4,1,0,0,0,0,0,3,7,0,1,0,0,0
Eric Haase,TOT,89,293,274,22,55,8,1,4,26,4,1,17,81,11,0,1,1,1
Eric Haase,DET,86,282,264,22,53,8,1,4,26,3,1,16,78,10,0,1,1,1
Eric Haase,CLE,3,11,10,0,2,0,0,0,0,1,0,1,3,1,0,0,0,0
Josh Hader*,SDP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Haggerty#,SEA,52,108,91,13,23,3,1,1,5,10,1,15,17,0,1,1,0,0
Darick Hall*,PHI,18,56,54,2,9,1,0,1,3,0,0,2,18,2,0,0,0,0
DL Hall*,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Hamilton,CHW,3,2,2,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0
Caleb Hamilton,BOS,4,6,5,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
David Hamilton*,BOS,15,39,33,2,4,2,0,0,0,2,1,6,10,1,0,0,0,0
Garrett Hampson,MIA,98,252,221,30,61,12,1,3,23,5,0,23,67,3,3,3,2,0
Mitch Haniger,SFG,61,229,211,27,44,13,1,6,28,1,0,15,65,7,2,0,1,0
Ian Happ#,CHC,158,691,580,86,144,35,4,21,84,14,3,99,153,12,6,0,6,2
Bryce Harper*,PHI,126,546,457,84,134,29,1,21,72,11,3,80,119,10,5,0,4,8
Michael Harris II*,ATL,138,539,505,76,148,33,3,18,57,20,4,25,101,8,5,1,3,1
Josh Harrison,PHI,40,114,103,8,21,3,0,2,10,0,0,3,20,2,6,0,2,0
Adam Haseley*,CHW,28,39,36,6,8,2,0,0,2,1,0,3,8,1,0,0,0,0
Ke'Bryan Hayes,PIT,124,525,494,65,134,31,7,15,61,10,6,28,104,11,0,0,3,1
Austin Hays,BAL,144,566,520,76,143,36,2,16,67,5,1,38,141,11,3,0,5,1
Taylor Hearn*,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Hearn*,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Hearn*,TEX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Heasley,KCR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Hedges,TOT,81,212,185,14,34,5,0,1,16,1,0,11,47,7,2,10,3,0
Austin Hedges,PIT,65,187,161,13,29,5,0,1,14,1,0,11,39,7,2,9,3,0
Austin Hedges,TEX,16,25,24,1,5,0,0,0,2,0,0,0,8,0,0,1,0,0
Jonah Heim#,TEX,131,501,457,61,118,28,0,18,95,2,0,40,96,10,1,0,3,2
Tyler Heineman#,TOT,22,47,38,5,9,1,1,0,3,1,0,8,8,0,1,0,0,0
Tyler Heineman#,PIT,3,10,9,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0
Tyler Heineman#,TOR,19,37,29,4,8,1,1,0,3,0,0,7,7,0,1,0,0,0
Ryan Helsley,STL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gunnar Henderson*,BAL,150,622,560,100,143,29,9,28,82,10,3,56,159,10,3,0,3,1
David Hensley,HOU,30,94,84,12,10,1,0,1,3,1,0,10,35,0,0,0,0,0
Carlos Hernández,KCR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enrique Hernández,TOT,140,508,465,57,110,23,0,11,61,4,1,34,97,17,3,0,6,1
Enrique Hernández,BOS,86,323,297,38,66,11,0,6,31,3,1,22,68,11,2,0,2,0
Enrique Hernández,LAD,54,185,168,19,44,12,0,5,30,1,0,12,29,6,1,0,4,1
Teoscar Hernández,SEA,160,678,625,70,161,29,2,26,93,7,2,38,211,6,8,0,7,2
Yonny Hernández#,LAD,14,27,22,5,3,1,0,0,4,0,0,2,8,0,1,1,1,0
Iván Herrera,STL,13,44,37,6,11,2,0,0,4,0,0,5,11,1,2,0,0,0
José Herrera#,ARI,41,120,101,15,21,5,0,0,7,1,0,13,30,2,0,5,1,0
Jason Heyward*,LAD,124,377,334,56,90,23,0,15,40,2,2,34,64,7,3,0,3,1
Aaron Hicks#,TOT,93,312,269,44,68,9,1,8,36,6,0,42,69,3,0,0,1,1
Aaron Hicks#,NYY,28,76,69,9,13,2,0,1,5,0,0,7,20,0,0,0,0,0
Aaron Hicks#,BAL,65,236,200,35,55,7,1,7,31,6,0,35,49,3,0,0,1,1
Kyle Higashioka,NYY,92,260,242,24,57,13,0,10,34,0,0,14,74,5,0,1,3,0
Derek Hill,WSN,13,50,47,3,8,1,0,0,1,1,0,3,11,0,0,0,0,0
Sam Hilliard*,ATL,40,78,72,15,17,5,0,3,6,4,0,6,33,1,0,0,0,0
Bryan Hoeing,MIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nico Hoerner,CHC,150,688,619,98,175,27,4,9,68,43,7,49,83,12,14,1,5,0
TJ Hopkins,CIN,25,44,41,7,7,0,0,0,1,1,0,2,17,1,1,0,0,0
Spencer Horwitz*,TOR,15,44,39,5,10,2,0,1,7,0,0,4,12,1,1,0,0,0
Eric Hosmer*,CHC,31,100,94,7,22,3,0,2,14,0,0,6,25,5,0,0,0,0
Sam Huff,TEX,21,45,43,5,11,2,0,3,6,0,0,2,17,1,0,0,0,0
Cooper Hummel#,SEA,10,26,23,2,2,1,0,0,0,1,0,2,9,1,1,0,0,0
Tommy Hunter,NYM,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Ibáñez,DET,114,383,356,42,94,23,2,11,41,1,0,24,69,7,1,1,1,0
Jonathan India,CIN,119,529,454,78,111,23,0,17,61,14,2,52,109,13,16,0,7,0
Kyle Isbel*,KCR,91,313,292,45,70,22,2,5,34,7,1,17,59,5,1,1,2,0
Drey Jameson,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis Jankowski*,TEX,107,287,247,34,65,12,1,1,30,19,1,35,42,6,2,1,2,0
Danny Jansen,TOR,86,301,268,38,61,15,0,17,53,0,0,23,62,3,10,0,0,1
Kenley Jansen#,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Jarvis*,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Jeffers,MIN,96,335,286,46,79,15,2,14,43,3,2,33,93,6,10,4,2,1
Eloy Jiménez,CHW,120,489,456,50,124,23,0,18,64,0,0,30,93,13,1,0,2,2
Joe Jiménez,ATL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor Joe,PIT,133,472,413,63,102,31,4,11,42,3,5,50,110,4,8,0,1,0
Bryce Johnson#,SFG,30,48,43,7,7,1,0,1,3,3,0,4,15,0,0,0,1,0
Pierce Johnson,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierce Johnson,COL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jahmai Jones,MIL,7,11,10,2,2,1,0,0,3,1,0,1,5,0,0,0,0,0
Nolan Jones*,COL,106,424,367,60,109,22,4,20,62,20,4,53,126,1,3,0,1,3
Aaron Judge,NYY,106,458,367,79,98,16,0,37,75,3,1,88,130,5,0,0,3,9
Edouard Julien*,MIN,109,408,338,60,89,16,1,16,37,3,0,64,128,8,2,1,3,0
Corey Julks,HOU,93,323,298,35,73,14,0,6,33,15,3,22,75,6,1,0,2,0
Josh Jung,TEX,122,515,478,75,127,25,1,23,70,1,3,30,151,7,5,0,2,0
Jakob Junis,SFG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor Kaiser,COL,3,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Karl Kauffmann,COL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Kay*,TOT,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Kay*,CHC,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarred Kelenic*,SEA,105,416,372,44,94,25,2,11,49,13,5,41,132,6,1,0,2,4
Carson Kelly,TOT,50,151,136,13,28,5,0,2,13,1,0,14,40,2,0,0,1,0
Carson Kelly,ARI,32,92,84,6,19,3,0,1,6,1,0,7,23,2,0,0,1,0
Carson Kelly,DET,18,59,52,7,9,2,0,1,7,0,0,7,17,0,0,0,0,0
Tony Kemp*,OAK,124,419,359,42,75,13,3,5,27,15,4,44,40,9,6,7,3,0
Buddy Kennedy,ARI,10,29,24,1,4,1,0,0,1,0,0,4,6,0,1,0,0,0
Max Kepler*,MIN,130,491,438,72,114,22,2,24,66,1,1,45,106,9,4,0,4,0
Grae Kessinger,HOU,26,45,40,3,8,2,0,1,1,0,1,5,12,0,0,0,0,0
Carter Kieboom,WSN,27,94,87,12,18,2,0,4,11,0,0,6,27,2,1,0,0,0
Kevin Kiermaier*,TOR,129,408,370,58,98,21,6,8,36,14,1,29,86,9,4,1,4,0
Ha-Seong Kim,SDP,152,626,538,84,140,23,0,17,60,38,9,75,124,7,3,5,5,1
Isiah Kiner-Falefa,NYY,113,361,326,39,79,12,1,6,37,14,5,28,70,12,3,1,3,0
John King*,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John King*,TEX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Kirilloff*,MIN,88,319,281,35,76,14,1,11,41,1,0,28,80,2,7,0,3,1
Alejandro Kirk,TOR,123,422,372,34,93,16,0,8,43,0,0,42,45,21,6,0,2,1
Heston Kjerstad*,BAL,13,33,30,3,7,1,0,2,3,0,0,2,10,0,0,0,0,0
Andrew Knizner,STL,70,241,224,30,54,11,0,10,31,2,0,12,62,8,3,1,1,0
Taylor Kohlwey*,SDP,5,13,13,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0
Mark Kolozsvary,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Kreidler,DET,11,18,18,2,2,0,0,0,0,0,0,0,7,0,0,0,0,0
Steven Kwan*,CLE,158,718,638,93,171,36,7,5,54,21,3,70,75,9,3,1,6,2
Tommy La Stella*,SEA,12,24,21,2,4,1,0,0,2,0,0,3,5,0,0,0,0,0
Jake Lamb*,LAA,18,54,51,7,11,1,0,2,5,0,0,3,15,1,0,0,0,0
Alex Lange,DET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shea Langeliers,OAK,135,490,448,52,92,19,4,22,63,3,2,34,143,10,5,1,2,2
Trevor Larnach*,MIN,58,212,183,26,39,7,3,8,40,1,1,27,72,2,0,0,2,1
Ramón Laureano,TOT,105,404,361,46,81,18,4,9,35,12,1,33,114,9,9,0,1,0
Ramón Laureano,OAK,64,246,225,24,48,10,3,6,21,8,0,17,73,5,4,0,0,0
Ramón Laureano,CLE,41,158,136,22,33,8,1,3,14,4,1,16,41,4,5,0,1,0
Derek Law,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Lawlar,ARI,14,34,31,2,4,0,0,0,0,1,1,2,11,0,1,0,0,0
Justin Lawrence,COL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korey Lee,CHW,24,70,65,4,5,1,0,1,3,0,0,5,20,0,0,0,0,0
Mark Leiter Jr.,CHC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJ LeMahieu,NYY,136,562,497,55,121,22,3,15,44,2,2,60,125,14,3,0,2,2
Sandy León#,TEX,21,44,41,4,6,2,0,0,4,0,0,1,20,2,1,1,0,0
Josh Lester*,BAL,11,23,22,0,4,0,0,0,4,0,0,1,7,1,0,0,0,0
Kyle Lewis,ARI,16,54,51,2,8,2,0,1,2,0,0,3,21,0,0,0,0,0
Royce Lewis,MIN,58,239,217,36,67,7,0,15,52,6,1,20,55,5,2,0,0,0
Francisco Lindor#,NYM,160,687,602,108,153,33,2,31,98,31,4,66,137,8,12,0,7,1
Andre Lipcius,DET,13,38,35,3,10,1,0,1,4,0,0,3,8,1,0,0,0,0
Luke Little*,CHC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Locastro,NYM,43,67,56,13,13,3,0,2,3,6,0,3,22,0,6,2,0,0
Nick Loftin,KCR,19,68,62,10,20,5,1,0,10,2,0,4,12,0,1,0,1,0
Evan Longoria,ARI,74,237,211,25,47,9,0,11,28,0,0,23,73,8,0,0,3,0
Alejo López#,CIN,1,2,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Irving Lopez*,STL,5,12,11,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0
Nicky Lopez*,TOT,93,262,225,32,52,8,3,1,25,6,2,26,40,3,6,4,1,0
Nicky Lopez*,KCR,68,190,160,19,34,5,3,0,13,4,2,21,30,3,5,4,0,0
Nicky Lopez*,ATL,25,72,65,13,18,3,0,1,12,2,0,5,10,0,1,0,1,0
Brandon Lowe*,TBR,109,436,377,58,87,15,1,21,68,7,0,50,119,8,6,0,3,0
Josh Lowe*,TBR,135,501,466,71,136,33,2,20,83,32,3,31,124,6,1,0,3,2
Nathaniel Lowe*,TEX,161,724,623,89,163,38,3,17,82,1,0,93,165,22,5,0,3,2
Marco Luciano,SFG,14,45,39,4,9,3,0,0,0,1,0,6,17,0,0,0,0,0
Nathan Lukes*,TOR,29,31,26,4,5,1,1,0,2,0,0,4,9,1,0,0,1,0
Jordan Luplow,TOT,39,90,77,11,16,3,0,2,5,2,0,12,27,1,1,0,0,1
Jordan Luplow,TOR,7,17,14,1,3,0,0,0,1,0,0,3,8,0,0,0,0,1
Jordan Luplow,MIN,32,73,63,10,13,3,0,2,4,2,0,9,19,1,1,0,0,0
Manny Machado,SDP,138,601,543,75,140,21,0,30,91,3,2,50,109,20,2,0,6,1
Nick Madrigal,CHC,92,294,270,34,71,16,1,2,28,10,2,10,24,3,9,5,0,0
Bligh Madris*,HOU,12,30,26,4,4,1,0,0,0,0,0,4,7,0,0,0,0,0
Drew Maggi,PIT,3,6,6,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Luke Maile,CIN,74,199,179,17,42,10,0,6,25,2,1,14,49,8,5,1,0,0
Martín Maldonado,HOU,116,407,362,33,69,12,0,15,36,0,0,30,139,10,3,12,0,0
Trey Mancini,CHC,79,263,235,31,55,12,0,4,28,0,0,21,78,5,2,0,3,1
Tucupita Marcano*,PIT,75,220,202,16,47,12,2,3,18,5,2,10,35,2,3,3,2,0
Manuel Margot,TBR,99,336,311,39,82,21,1,4,38,9,3,18,55,6,4,0,3,0
Jake Marisnick,TOT,46,83,76,10,18,3,2,2,10,2,3,3,21,4,2,1,1,0
Jake Marisnick,TOT,42,77,71,10,16,3,2,2,10,2,2,3,21,4,1,1,1,0
Jake Marisnick,CHW,9,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jake Marisnick,DET,33,75,69,9,16,3,2,2,10,2,2,3,20,4,1,1,1,0
Jake Marisnick,LAD,4,6,5,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0
Cade Marlowe*,SEA,34,100,88,14,21,3,2,3,11,4,2,12,33,1,0,0,0,0
Brandon Marsh*,PHI,133,472,404,58,112,25,6,12,60,10,2,59,144,4,4,1,4,2
Ketel Marte#,ARI,150,650,569,94,157,26,9,25,82,8,2,71,109,16,5,0,5,2
Noelvi Marte,CIN,35,123,114,15,36,7,0,3,15,6,2,8,25,1,1,0,0,0
Starling Marte,NYM,86,341,315,38,78,7,1,5,28,24,4,16,69,8,8,2,0,1
Chris Martin,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.D. Martinez,LAD,113,479,432,61,117,27,2,33,103,1,0,34,149,11,2,0,9,1
J.P. Martínez*,TEX,17,44,40,7,9,1,0,1,4,0,0,2,16,0,0,0,2,0
Seth Martinez,HOU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Martini*,CIN,29,79,72,10,19,3,1,6,16,0,0,5,15,1,2,0,0,0
Michael Massey*,KCR,129,461,428,42,98,18,1,15,55,6,2,24,99,3,4,1,4,0
Miles Mastrobuoni*,CHC,60,149,133,24,32,5,0,1,5,13,1,13,32,1,0,3,0,0
Jorge Mateo,BAL,116,350,318,58,69,14,2,7,34,32,5,22,82,8,1,5,3,0
Mark Mathias,TOT,27,72,62,6,14,2,0,0,6,3,0,10,15,4,0,0,0,0
Mark Mathias,PIT,22,62,52,5,12,2,0,0,4,3,0,10,11,3,0,0,0,0
Mark Mathias,SFG,5,10,10,1,2,0,0,0,2,0,0,0,4,1,0,0,0,0
Nick Maton*,DET,93,293,249,29,43,9,0,8,32,1,2,38,73,4,3,1,2,1
Phil Maton,HOU,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Matos,SFG,76,253,228,24,57,13,1,2,14,3,0,20,33,3,3,2,0,0
Ronny Mauricio#,NYM,26,108,101,11,25,4,0,2,9,7,0,7,31,2,0,0,0,0
Tim Mayza*,TOR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James McArthur,KCR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James McCann,BAL,69,226,207,25,46,14,0,6,26,3,1,9,57,5,5,3,2,0
Jake McCarthy*,ARI,99,312,276,37,67,7,5,2,16,26,4,26,62,4,5,4,1,0
Chas McCormick,HOU,115,457,403,59,110,17,2,22,70,19,6,40,117,3,11,1,2,0
Mason McCoy,TOR,6,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Andrew McCutchen,PIT,112,473,390,55,100,19,0,12,43,11,3,75,100,8,4,0,4,1
Scott McGough,ARI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reese McGuire*,BOS,72,206,187,15,50,12,1,1,16,2,1,11,53,2,1,2,1,0
Ryan McKenna,BAL,88,139,122,23,31,7,0,2,18,5,0,9,40,4,3,3,2,0
Billy McKinney*,NYY,48,147,128,19,29,3,1,6,14,1,0,17,39,1,1,0,1,1
Zach McKinstry*,DET,148,518,464,60,107,21,4,9,35,16,6,44,113,3,5,2,3,0
Matt McLain,CIN,89,403,365,65,106,23,4,16,50,14,5,31,115,5,7,0,0,0
Ryan McMahon*,COL,152,627,555,80,133,31,3,23,70,5,5,68,198,19,1,0,3,2
Jeff McNeil*,NYM,156,648,585,75,158,25,4,10,55,10,0,39,65,5,18,3,3,0
Curtis Mead,TBR,24,92,83,12,21,3,1,1,5,0,0,7,21,3,2,0,0,0
Austin Meadows*,DET,6,21,21,0,5,1,0,0,2,0,0,0,3,0,0,0,0,0
Parker Meadows*,DET,37,145,125,19,29,4,2,3,13,8,1,17,37,0,2,0,1,1
Wade Meckler*,SFG,20,64,56,6,13,1,0,0,4,0,0,6,25,0,2,0,0,0
Francisco Mejía#,TBR,50,160,150,22,34,11,0,5,19,0,1,6,38,2,1,1,2,0
MJ Melendez*,KCR,148,602,533,65,125,29,5,16,56,6,4,62,170,4,3,0,4,2
Danny Mendick,NYM,33,69,65,4,12,3,0,1,4,1,0,4,15,1,0,0,0,0
Joey Meneses,WSN,154,657,611,71,168,36,1,13,89,0,0,38,130,15,5,0,3,0
Óscar Mercado,STL,20,32,31,3,9,3,0,0,5,2,1,1,4,0,0,0,0,0
Whit Merrifield,TOR,145,592,547,66,149,27,0,11,67,26,10,36,101,15,3,0,6,2
Julian Merryweather,CHC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Mervis*,CHC,27,99,90,8,15,2,0,3,11,0,0,8,32,1,1,0,0,0
Jake Meyers,HOU,112,341,309,42,70,16,1,10,33,5,2,26,88,2,5,0,1,0
Drew Millas#,WSN,11,33,28,1,8,2,0,1,6,0,0,4,5,2,0,1,0,0
Brad Miller*,TEX,27,67,56,8,12,4,0,1,6,0,0,10,11,1,0,0,1,0
Owen Miller,MIL,90,314,291,29,76,17,0,5,27,13,2,17,61,6,2,0,4,1
Shelby Miller,LAD,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Miranda,MIN,40,152,142,12,30,4,0,3,13,0,0,9,24,8,1,0,0,0
Calvin Mitchell*,PIT,2,5,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Garrett Mitchell*,MIL,19,73,65,10,16,2,1,3,7,1,1,7,26,0,0,0,1,0
Andruw Monasterio,MIL,92,315,282,38,73,14,1,3,27,7,2,28,66,9,3,0,2,0
Yoán Moncada#,CHW,92,357,334,39,87,20,1,11,40,1,0,20,107,6,2,0,1,0
Mickey Moniak*,LAA,85,323,311,35,87,21,2,14,45,6,3,9,113,4,3,0,0,1
Elehuris Montero,COL,85,307,284,40,69,15,2,11,39,0,0,15,111,5,5,0,3,0
Rafael Montero,HOU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coco Montes,COL,18,41,38,3,7,2,0,1,3,0,0,2,12,0,1,0,0,0
Dylan Moore,SEA,67,165,145,18,30,9,1,7,19,7,3,16,56,1,4,0,0,0
Jovani Morán*,MIN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christopher Morel,CHC,107,429,388,62,96,17,3,26,70,6,2,36,133,7,2,1,2,0
Gabriel Moreno,ARI,111,380,341,33,97,19,1,7,50,6,2,29,75,17,3,0,7,0
Taylor Motter,STL,29,82,76,3,13,3,0,0,2,0,0,5,31,0,1,0,0,0
Ryan Mountcastle,BAL,115,470,423,64,114,21,1,18,68,3,1,37,107,13,3,0,7,1
Mike Moustakas*,TOT,112,386,352,43,87,15,0,12,48,0,0,23,95,7,3,0,8,1
Mike Moustakas*,COL,47,136,115,21,31,7,0,4,17,0,0,17,34,1,1,0,3,1
Mike Moustakas*,LAA,65,250,237,22,56,8,0,8,31,0,0,6,61,6,2,0,5,0
Cedric Mullins*,BAL,116,455,404,51,94,23,3,15,74,19,3,43,101,6,1,3,4,1
Max Muncy*,LAD,135,579,482,95,102,17,1,36,105,1,2,85,153,8,6,0,6,4
Andrés Muñoz,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penn Murfee,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Murphy,ATL,108,438,370,65,93,21,0,21,68,0,0,49,98,18,18,0,1,0
Tom Murphy,SEA,47,159,145,19,42,12,0,8,17,0,0,10,44,4,1,0,2,0
Dane Myers,MIA,22,70,67,9,18,3,0,1,9,1,1,2,19,1,0,0,1,0
Wil Myers,CIN,37,141,127,11,24,3,0,3,12,2,1,12,48,3,0,1,1,0
James Naile,STL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Naquin*,CHW,5,8,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
