Name,Tm,WAR
Hunter Dozier,KCR,-0.1
Brandon Drury,LAA,1.9
Daniel Duarte,CIN,0
Mauricio Dubón,HOU,2.7
Matt Duffy,KCR,0.3
Ezequiel Duran,TEX,0.9
Jarren Duran*,BOS,2.1
Adam Duvall,BOS,1.6
Nate Eaton,KCR,-0.6
Cam Eden,TOR,-0.1
Tommy Edman#,STL,2.1
Xavier Edwards#,MIA,0.1
Drew Ellis,PHI,0.2
Christian Encarnacion-Strand,CIN,0.6
Adam Engel,SDP,-0.3
Eduardo Escobar#,2TM,-1.1
Santiago Espinal,TOR,0.5
Thairo Estrada,SFG,2.3
Stuart Fairchild,CIN,0.5
Buck Farmer*,CIN,0
Kyle Farmer,MIN,1.7
Caleb Ferguson,LAD,0
Freddy Fermin,KCR,1.7
José Fermín,STL,0.1
Tyler Fitzgerald,SFG,0.2
David Fletcher,LAA,0.1
Dominic Fletcher*,ARI,0.7
Wilmer Flores,SFG,2.6
Estevan Florial*,NYY,0
Mike Ford*,SEA,0.8
Nick Fortes,MIA,-0.1
Jake Fraley*,CIN,0.9
Ty France,SEA,0.7
Wander Franco#,TBR,5.5
Adam Frazier*,BAL,1.7
Clint Frazier,CHW,-0.3
Freddie Freeman*,LAD,6.5
Tyler Freeman,CLE,-0.3
Sal Frelick*,MIL,1.2
Luis Frías,ARI,0
TJ Friedl*,CIN,3.8
David Fry,CLE,0.3
Shintaro Fujinami,BAL,0
Michael Fulmer,CHC,0
Cam Gallagher,CLE,-1.1
Joey Gallo*,MIN,0.5
Ben Gamel*,SDP,-0.2
Adolis García,TEX,4.2
Avisaíl García,MIA,-0.5
Luis García Jr.*,WSN,0.7
Maikel García,KCR,1.1
Kyle Garlick,MIN,-0.1
Stone Garrett,WSN,1.9
Mitch Garver,TEX,2.1
Zack Gelof,OAK,2.6
Ian Gibaut,CIN,0
Kyle Gibson,BAL,0
Logan Gillaspie,BAL,0
Andrés Giménez*,CLE,5.3
Kevin Ginkel*,ARI,0
Paul Goldschmidt,STL,3.4
Yan Gomes,CHC,1.7
Nick Gonzales,PIT,-0.2
Oscar González,CLE,-1.4
Romy Gonzalez,CHW,-0.4
Victor González*,LAD,0
Hunter Goodman,COL,-0.5
Nick Gordon*,MIN,-0.2
Nolan Gorman*,STL,2.4
Yasmani Grandal#,CHW,-0.7
Brusdar Graterol,LAD,0
Kendall Graveman,HOU,0
Jon Gray,TEX,0
Tristan Gray*,TBR,0.1
Riley Greene*,DET,1.9
Zack Greinke,KCR,0
Randal Grichuk,2TM,1.2
Trent Grisham*,SDP,2
Vaughn Grissom,ATL,-0.7
Robbie Grossman#,TEX,-0.1
Vladimir Guerrero Jr.,TOR,2
Luis Guillorme*,NYM,-0.1
Lourdes Gurriel Jr.,ARI,3
Yuli Gurriel,MIA,-0.5
Dalton Guthrie,PHI,0.3
Eric Haase,2TM,-0.9
Josh Hader*,SDP,0
Sam Haggerty#,SEA,0.2
Darick Hall*,PHI,-0.6
DL Hall*,BAL,0
Billy Hamilton,CHW,0
Caleb Hamilton,BOS,-0.1
David Hamilton*,BOS,-0.1
Garrett Hampson,MIA,1.3
Mitch Haniger,SFG,-0.3
Ian Happ#,CHC,3
Bryce Harper*,PHI,3.7
Michael Harris II*,ATL,3.4
Josh Harrison,PHI,-0.6
Adam Haseley*,CHW,-0.1
Ke'Bryan Hayes,PIT,4
Austin Hays,BAL,2.5
Taylor Hearn*,TEX,0
Jonathan Heasley,KCR,0
Austin Hedges,2TM,-1.1
Jonah Heim#,TEX,2.9
Tyler Heineman#,2TM,0.2
Ryan Helsley,STL,0
Gunnar Henderson*,BAL,6.2
David Hensley,HOU,-0.7
