Name,Uni,Unnamed: 2,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
Andrew Saalfrank,57.0,Pitcher,*,-,25,L,L,"6' 3""",205,18-Aug-97,2017
Zac Gallen,23.0,Pitcher,*,-,27,R,R,"6' 2""",189,3-Aug-95,2014
Jordan Lawlar,10.0,Position,*,-,20,R,R,"6' 1""",190,17-Jul-02,2021
Pavin Smith,26.0,Position,*,-,27,L,L,"6' 2""",208,6-Feb-96,2015
Lourdes Gurriel Jr.,12.0,Position,*,-,29,R,R,"6' 4""",215,10-Oct-93,2010
Ketel Marte,4.0,Position,*,-,29,S,R,"6' 1""",210,12-Oct-93,2011
Jose Herrera,11.0,Position,*,-,26,S,R,"5' 10""",217,24-Feb-97,2014
Jorge Barrosa,81.0,Position,*,-,22,S,L,"5' 5""",165,17-Feb-01,2018
Eugenio Suarez,28.0,Position,*,-,31,R,R,"5' 11""",213,18-Jul-91,2009
Joc Pederson,3.0,Position,*,-,31,L,L,"6' 1""",220,21-Apr-92,2010
Jake McCarthy,31.0,Position,*,-,25,L,L,"6' 2""",215,30-Jul-97,2016
Jace Peterson,6.0,Position,*,-,33,L,R,"6' 0""",215,9-May-90,2011
Geraldo Perdomo,2.0,Position,*,-,23,S,R,"6' 2""",203,22-Oct-99,2017
Gabriel Moreno,14.0,Position,*,-,23,R,R,"5' 11""",195,14-Feb-00,2017
Emmanuel Rivera,15.0,Position,*,-,27,R,R,"6' 2""",225,29-Jun-96,2015
Corbin Carroll,7.0,Position,*,-,22,L,L,"5' 10""",165,21-Aug-00,2019
Christian Walker,53.0,Position,*,-,32,R,R,"6' 0""",208,28-Mar-91,2011
Blaze Alexander,62.0,Position,*,-,24,R,R,"5' 11""",160,11-Jun-99,2018
Alek Thomas,5.0,Position,*,-,23,L,L,"5' 11""",175,28-Apr-00,2018
Kolby Allard,-,Pitcher,*,-,25,L,L,"6' 1""",195,13-Aug-97,2015
Zack Wheeler,45.0,Pitcher,*,-,33,L,R,"6' 4""",195,30-May-90,2010
Yunior Marte,43.0,Pitcher,*,-,28,R,R,"6' 2""",180,2-Feb-95,2013
Taijuan Walker,99.0,Pitcher,*,-,30,S,R,"6' 4""",253,13-Aug-92,2010
Seranthony Dominguez,58.0,Pitcher,*,-,28,R,R,"6' 1""",225,25-Nov-94,2012
Ranger Suarez,55.0,Pitcher,*,-,27,L,L,"6' 1""",217,26-Aug-95,2012
Orion Kerkering,50.0,Pitcher,*,-,22,R,R,"6' 2""",204,4-Apr-01,2020
Nick Nelson,57.0,Pitcher,*,-,27,R,R,"6' 1""",205,5-Dec-95,2016
Michael Rucker,-,Pitcher,*,-,29,R,R,"6' 1""",195,27-Apr-94,2013
Michael Mercado,-,Pitcher,*,-,24,R,R,"6' 4""",205,15-Apr-99,2017
McKinley Moore,79.0,Pitcher,*,-,24,R,R,"6' 6""",225,24-Aug-98,2017
Max Castillo,-,Pitcher,*,-,24,R,R,"6' 2""",280,4-May-99,2016
Matt Strahm,25.0,Pitcher,*,-,31,R,L,"6' 2""",190,12-Nov-91,2012
Luis Ortiz,56.0,Pitcher,*,-,27,R,R,"6' 3""",230,22-Sep-95,2014
Aaron Nola,27.0,Pitcher,*,-,30,R,R,"6' 2""",200,4-Jun-93,2012
Jose Alvarado,46.0,Pitcher,*,-,28,L,L,"6' 2""",245,21-May-95,2012
Gregory Soto,30.0,Pitcher,*,-,28,L,L,"6' 1""",234,11-Feb-95,2013
Dylan Covey,54.0,Pitcher,*,-,31,R,R,"6' 1""",215,14-Aug-91,2011
Connor Brogdon,75.0,Pitcher,*,-,28,R,R,"6' 6""",205,29-Jan-95,2017
Jeff Hoffman,68.0,Pitcher,*,-,30,R,R,"6' 5""",235,8-Jan-93,2012
Cristopher Sanchez,61.0,Pitcher,*,-,26,L,L,"6' 1""",165,12-Dec-96,2014
Nick Castellanos,8.0,Position,*,-,31,R,R,"6' 4""",203,4-Mar-92,2010
